t	s	nproc
0.3378379344940185	5000	1
0.6127111911773682	5000	16
0.5922751426696777	10000	1
0.8377022743225098	10000	16
2.6712110042572017	25000	1
1.836339235305786	25000	16
10.115226030349733	50000	1
3.930098295211792	50000	16
26.080884218215946	100000	1
9.453556537628174	100000	16
102.82176399230957	200000	1
23.527745962142944	200000	16
332.6190483570099	500000	1
74.3766975402832	500000	16
675.6332738399507	750000	1
153.468177318573	750000	16
1172.2675104141235	1000000	1
260.795979976654	1000000	16
0.3349208831787109	5000	1
0.8601353168487549	5000	16
0.9002389907836914	10000	1
1.289761304855347	10000	16
2.6139109134674072	25000	1
2.0661768913269043	25000	16
11.059399366378784	50000	1
4.762739419937134	50000	16
32.559275388717644	100000	1
9.850658655166628	100000	16
111.31339120864868	200000	1
26.24461579322815	200000	16
452.47503685951233	500000	1
89.65911889076233	500000	16
734.6027474403381	750000	1
137.85059094429016	750000	16
983.1169319152832	1000000	1
211.1979489326477	1000000	16
0.34378528594970703	5000	1
0.7334709167480469	5000	16
0.8245630264282227	10000	1
1.0893666744232178	10000	16
2.5690536499023438	25000	1
1.7906265258789062	25000	16
7.558788776397705	50000	1
3.2399938106536865	50000	16
35.286980390548706	100000	1
13.363632917404175	100000	16
85.57721281051636	200000	1
21.6527578830719	200000	16
326.4609549045563	500000	1
69.96589398384094	500000	16
651.3716907501221	750000	1
135.95216393470764	750000	16
887.4832623004913	1000000	1
200.06449365615845	1000000	16
