	size	total	step_1	step_2
0	10000	0.5507996082305908	0.28423094749450684	0.26404690742492676
1	25000	1.572244644165039	0.6873476505279541	0.8844671249389648
2	50000	3.975419044494629	1.3320140838623047	2.6429646015167236
3	100000	11.590339422225952	2.926287889480591	8.663655996322632
4	250000	60.629743337631226	7.81513524055481	52.813984394073486
5	500000	203.87659215927124	15.021257877349854	188.85271859169006
6	750000	445.23337149620056	22.677358388900757	422.5502562522888
7	1000000	740.8718848228455	30.67393708229065	710.1896364688873
8	1500000	1411.0193309783936	45.843074560165405	1365.1646258831024
9	2000000	2176.44944190979	60.124114751815796	2116.306351661682
